Sector,company_name,location,start_date,duration,stipend,skills
Product Management,Tynor Orthotics Private Limited,Mohali,Immediately,6 Months,"? 7,500 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Omni Sport Leader,Decathlon Sports India,Pimpri-Chinchwad,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6 Months,"? 2,500-9,500 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Graphic Design,Futurionic Private Limited,Work From Home,Immediately,6 Months,"? 5,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,6 Months,"? 20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Youtube Management,Unacademy,Bangalore,Immediately,6 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, YouTube SEO, Video Editing, Content Strategy"
Marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6 Months,"? 6,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Event Management,Office Of Advisor To CM,Delhi,Immediately,6 Months,Unpaid,"Event Planning, Communication, Budgeting, Vendor Management, Coordination, Leadership, Planning, MS Office"
Customer Service,Kalpataru Limited,Mumbai,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening"
Marketing,Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6 Months,"? 1,500 /month","Communication, Media Relations, Press Releases, Writing, Crisis Management"
Talent Acquisition,MRCC Solutions,Thane,Immediately,6 Months,"? 10,000 /month","Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools"
Human Resources (HR),Zucol Group Of Companies,Indore,Immediately,6 Months,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Sales (Real Estate),Anarock Property Consultant Private Limited,Pune,Immediately,6 Months,"? 10,000 /month","Real Estate Knowledge, Communication, Negotiation, Market Research, CRM, Lead Generation, Presentation"
Customer Experience,Snapdeal,Gurgaon,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening"
Insurance Consulting,Bajaj Allianz Life Insurance Company Limited,Work From Home,Immediately,6 Months,"? 12,000 /month +  Incentives","Communication, Problem Solving, Teamwork, MS Office"
Resource Management,Techolution,Hyderabad,Immediately,6 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Curriculum Development,Educate Girls,Mumbai,Immediately,6 Months,"? 15,000-17,000 /month","Curriculum Design, Subject Knowledge, Pedagogy, Content Development"
Digital Marketing,Audi Mumbai West,Mumbai,Immediately,6 Months,"? 15,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Social Work,INDIA Redefined,Work From Home,Immediately,6 Months,Unpaid,"Social Work, Communication, Empathy, Community Development"
Lead HR (Admin),Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,"MS Office, Communication, Organization, Data Entry, Scheduling, HR Policies, Recruitment, Excel"
HR,WWF India,Delhi,Immediately,6 Months,"? 5,000-10,000 /month","Communication, HR Policies, Recruitment, Excel, HRIS"
Content Creation & Ideation,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,"Content Strategy, Writing, Social Media, Canva, Video Editing"
Operations,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Work From Home,Immediately,6 Months,"? 5,000 /month","Process Optimization, Excel, Communication, Project Management"
Technical Finance,Thomas Cook,Mumbai,Immediately,6 Months,"? 6,000 /month","Financial Analysis, Excel, Accounting Basics, Financial Modeling"
Campus Ambassador,Unacademy,Work From Home,Immediately,6 Months,Performance Based,"Communication, Problem Solving, Teamwork, MS Office"
Media And Social Media Management,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Leadership, Communication, Planning"
Digital Media Monitoring/Content Analytics,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Human Resources (HR),Alkegen India Private Limited,Pune,Immediately,6 Months,"? 3,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Digital And Cartoon Artist,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Content Marketing,IIT Bombay,Work From Home,Immediately,6 Months,"? 1,000-2,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Social Media Research/Scouting,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,"Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Research Methodology, Data Analysis, Academic Writing"
Human Resources (HR),Ambit Private Limited,Mumbai,Immediately,6 Months,"? 20,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Business Development (Sales),MakeMyTrip,Gurgaon,Immediately,3 Months,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Video Making/Editing,Aam Aadmi Party,Work From Home,Immediately,3 Months,Unpaid,"Video Production, Editing Software, Storytelling, Camera Skills, Editing, Proofreading, Grammar, Attention to Detail"
Social Work,INDIA Redefined,Work From Home,Immediately,3 Months,Unpaid,"Social Work, Communication, Empathy, Community Development"
YouTube Marketing,Saregama India Limited,Chennai,Immediately,3 Months,"? 5,000-10,000 /month","Marketing Strategy, Communication, Analytics, Content Creation, YouTube SEO, Video Editing, Content Strategy, Thumbnails"
Marketing,Cuberoutes,Chennai,Immediately,3 Months,"? 12,000 /month +  Incentives","Marketing Strategy, Communication, Analytics, Content Creation"
Marketing (Sunburn),BookMyShow,Mumbai,Immediately,3 Months,"? 7,500 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Content Developement (DIY Videos),K4 Media & Technologies,Jaipur,Immediately,3 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
US Sales Process (Female),Gigde Global Solutions Private Limited,Noida,Immediately,3 Months,"? 15,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Chartered Accountancy (CA),H S SABHARWAL & Co,Dehradun,Immediately,3 Months,"? 3,000-5,000 /month","CA Knowledge, Accounting Standards, Taxation, Audit, Tally"
Content Writing (Education),K4 Media & Technologies,Jaipur,Immediately,3 Months,"? 10,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Computer Operations,K4 Media & Technologies,Jaipur,Immediately,3 Months,"? 10,000 /month","Process Optimization, Excel, Communication, Project Management"
Marketing,MAG Finserv,Pune,Immediately,3 Months,"? 10,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Graphic Design,Trivy Technologies Private Limited,Work From Home,Immediately,3 Months,"? 2,500 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Project Management,HappiMynd,Work From Home,Immediately,3 Months,"? 10,000-15,000 /month","Project Planning, Agile/Scrum, Communication, MS Project, Risk Management, Leadership, Planning, MS Office"
Creative Design,Soyu,Hyderabad,Immediately,3 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Subject Matter Expert (Mathematics) - Doubt Solving,LearnAsYouGo Private Limited,Work From Home,Immediately,3 Months,"? 6,000-12,000 /month","Domain Expertise, Teaching, Content Development, Communication"
Content Writing (Art & Craft),K4 Media & Technologies,Work From Home,Immediately,3 Months,"? 1,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Content Writing (Fashion & Lifestyle),K4 Media & Technologies,Work From Home,Immediately,3 Months,"? 1,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,3 Months,10% of Revenue Generated,"Communication, Problem Solving, Teamwork, MS Office"
Web Development,Celebrare,Work From Home,Immediately,3 Months,"? 6,000-12,000 /month","HTML, CSS, JavaScript, Git, Responsive Design"
Web Content Development,Hex Wireless Private Limited,Work From Home,Immediately,3 Months,"? 12,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Video Editing,K4 Media & Technologies,Jaipur,Immediately,3 Months,"? 10,000 /month","Adobe Premiere Pro, After Effects, DaVinci Resolve, Color Grading, Storytelling, Editing, Proofreading, Grammar"
UI/UX Design,QuadB Tech,Ludhiana,Immediately,3 Months,"? 15,000-25,000 /month","User Research, Wireframing, Prototyping, Usability Testing, Figma, Adobe XD"
Digital Marketing,TopLine Vision,Bangalore,Immediately,3 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Data Entry,K4 Media & Technologies,Jaipur,Immediately,3 Months,"? 10,000 /month","Typing Speed, MS Excel, Attention to Detail, Data Management"
Business Development (Sales),Rentkar-Switch To Share,Mumbai,Immediately,3 Months,"? 12,000-14,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Brand Management,Born High Digital,Gurgaon,Immediately,3 Months,"? 10,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, Brand Strategy, Visual Identity, Adobe Creative Suite"
HR And Market Research,Stellar Search,Gurgaon,Immediately,3 Months,"? 15,000 /month","Research, Data Analysis, Survey Design, Excel, Report Writing, Research Methodology, Academic Writing, Literature Review"
Civil Engineering,Pro India,Work From Home,Immediately,3 Months,"? 1,000 /month +  Incentives","AutoCAD, Structural Analysis, Construction Management, STAAD Pro"
Architecture,Digipplus,Work From Home,Immediately,3 Months,"? 25,000-30,000 /month","AutoCAD, Revit, SketchUp, Design Thinking, 3D Visualization"
Business Development Management,Trivy Technologies Private Limited,Work From Home,Immediately,3 Months,"? 1,500 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Leadership, Planning, MS Office"
Digital Marketing (Meme & Carousel Making),Lawtech,Work From Home,Immediately,3 Months,"? 6,000-8,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
UI/UX Design,Radhika Kapoor,Work From Home,Immediately,3 Months,"? 5,000 /month","User Research, Wireframing, Prototyping, Usability Testing, Figma, Adobe XD"
Graphic Design,AnthroFit Lifesciences Co,Work From Home,Immediately,3 Months,"? 4,000-6,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
General Management,Adore Earth,Work From Home,Immediately,3 Months,"? 4,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Legal Content Curation,Lawtech,Work From Home,Immediately,3 Months,"? 6,000-8,000 /month","Legal Research, Contract Drafting, Legal Writing, Compliance"
Talent Acquisition,TopHire,Work From Home,Immediately,3 Months,"? 5,000-15,000 /month","Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools"
English Content Curation (IELTS),Lawtech,Work From Home,Immediately,3 Months,"? 8,000-10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Field And Digital Marketing,Mehta Poly Boards,Mumbai,Immediately,3 Months,"? 9,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Content Marketing,Ciera Advisors LLP,Mumbai,Immediately,3 Months,"? 10,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Digital Marketing,Mars Elevator,Gurgaon,Immediately,3 Months,"? 15,000 /month +  Incentives","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Field Sales,Aadiananta Enterprises PVT Ltd,Delhi,Immediately,3 Months,"? 10,000 /month","Communication, Travel, Negotiation, Territory Management, CRM, Lead Generation, Presentation"
Human Resources (HR),Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"? 15,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Accounts And Audit,IRA Consulting,Mumbai,Immediately,3 Months,"? 7,500 /month","Auditing Standards, Excel, Attention to Detail, Financial Statements"
YouTube SEO,"Manjita Osta (Melbourne Airport, Australia)",Work From Home,Immediately,3 Months,"? 10,000 /month","YouTube SEO, Video Editing, Content Strategy, Thumbnails, Audience Growth, SEO, Google Analytics, Keyword Research"
Quality Analytics,Organikness Pvt. Ltd.,Hyderabad,Immediately,3 Months,"? 7,000 /month","Quality Assurance, Attention to Detail, Documentation, Testing"
Human Resources (HR),Six Ladders,Mumbai,Immediately,3 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Growth Hacking,Hotnot,Mumbai,Immediately,3 Months,"? 2,000 /month +  Incentives","Growth Hacking, Analytics, A/B Testing, Marketing Automation, SEO"
Human Resources (HR),AICS Consultancy Service Private Limited,Noida,Immediately,3 Months,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Purchase Management,PatilKaki,Navi Mumbai,Immediately,3 Months,"? 8,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Telecalling & Administration,Safe2Go Digisolutions Private Limited,Jaipur,Immediately,3 Months,"? 6,000-10,000 /month","Communication, CRM, Sales Pitch, Customer Service, Negotiation, MS Office, Organization, Data Entry"
Furniture/Product Design,The Wood Shaping Company,Jaipur,Immediately,3 Months,"? 5,000 /month +  Incentives","Figma, User Research, Prototyping, Design Systems, Visual Design"
Inside Sales,RankItRight Media,Bangalore,Immediately,3 Months,"? 20,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Business Development (Sales),Avataryug,Mumbai,Immediately,3 Months,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Video Making/Editing,Stax Media,Delhi,Immediately,3 Months,"? 10,000 /month","Video Production, Editing Software, Storytelling, Camera Skills, Editing, Proofreading, Grammar, Attention to Detail"
